,출발지,
상무시민공원1,1002,"35.155294709785785, 126.84285482259524"
상무역 5번 출구 앞,881,"35.14774593233324, 126.84854706587436"
교보문고 앞,653,
김대중컨벤션센터1,600,
의회동 앞,530,
시청 앞,512,
치평동주민센터,473,
쉐보레 앞,428,
롯데마트 앞,415,
아웃백스테이크 앞,384,
상무시민공원 화장실 입구,383,
금호대우아파트 앞,381,
계수초교 앞,374,
광주시 111,373,
현대해상 앞,360,
치평초교 앞,289,
한국투자증권 앞,275,
우체국 건너편,270,
KBS 앞,215,
메이루즈 앞,192,
현대아파트 옆,189,
메가커피 앞,183,
해오리어린이공원 옆,180,
한국은행 앞,159,
센트럴시티 앞,144,
상무골프연습장 앞,136,
로잔티움 오피스텔 앞,135,
금호쌍용아파트 202동 앞,127,
유안타증권 앞,122,
마륵역 앞,115,
김대중컨벤션센타2,108,
상무시민공원 버스승강장,95,
자생한방병원,58,
공연마루 입구,32,
먹자골목 앞,14,
sm 미 성형외과 앞,13,
해오리어린이공원 입구,13,
공연마루 앞,10,
구)소각장 앞,8,
코앤영의원 앞,8,
일가정양립지원본부,7,
상무시민공원2,7,
중흥s클래스 앞,3,
세정아울렛 앞,3,
라붐웨딩 앞,2,
해동빌딩 앞,1,
리콘,1,
518자유공원 승강장 옆,1,
금호쌍용아파트 앞,1,
