key,총계,설치장소
송정동,6420 ,27
도산동,6107 ,16
신흥동,1600 ,17
우산동,10594 ,41
우산동,3034 ,41
월곡동,10728 ,14
비아동,2585 ,35
첨단동,51376 ,75
신가동,8044 ,23
신가동,8044 ,7
운남동,12822 ,19
신창동,15936 ,16
수완동,33753 ,30
수완동,33753 ,5
하남동,9700 ,110
하남동,9700 ,3
평동,1050 ,108
삼도동,447 ,83
본량동,370 ,60
양림동,2282 ,5
방림동,5372 ,13
봉선동,16127 ,31
사직동,1597 ,7
월산동,7050 ,32
백운동,6440 ,13
주월동,9740 ,30
효덕동,17847 ,50
송암동,8316 ,27
대촌동,1501 ,76
충장동,4546 ,28
동명동,3873 ,5
계림동,18182 ,18
산수동,19251 ,23
지산동,9157 ,24
서남동,3230 ,15
학동,8167 ,15
학운동,11897 ,15
지원동,24594 ,39
중흥동,6682 ,30
중앙동,1042 ,20
임동,2622 ,20
신안동,4628 ,24
용봉동,15827 ,39
운암동,16094 ,39
동림동,9132 ,14
풍향동,2104 ,8
문화동,6450 ,15
문흥동,12205 ,26
두암동,11979 ,36
삼각동,5759 ,13
일곡동,12453 ,34
매곡동,5418 ,20
오치동,8437 ,23
석곡동,622 ,79
건국동,8953 ,168
양산동,15366 ,13
양동,2413 ,17
농성동,5664 ,25
광천동,2782 ,10
유덕동,4417 ,43
치평동,12989 ,46
상무동,19884 ,33
화정동,23649 ,51
서창동,1858 ,80
금호동,18869 ,28
풍암동,14971 ,39
동천동,6104 ,8
